dt_iso,dt,timezone,lat,lon,temp,feels_like,temp_min,temp_max,pressure,sea_level,grnd_level,humidity,wind_speed,wind_deg,rain_1h,rain_3h,snow_1h,snow_3h,clouds_all,weather_id
2016-02-11,1455190200.0,-28800.0,32.715737999999995,-117.16108399999997,66.08749999999999,60.02666666666667,59.76500000000001,70.5329166666667,1018.7083333333334,,,28.208333333333332,3.847916666666667,139.625,,,,,12.208333333333334,800.5833333333334
2016-02-12,1455276600.0,-28800.0,32.715737999999995,-117.16108399999997,65.95791666666666,61.187083333333334,59.14249999999999,70.49500000000002,1018.9583333333334,,,35.125,3.2170833333333335,143.54166666666666,,,,,13.666666666666666,800.6666666666666
2016-02-13,1455363000.0,-28800.0,32.715737999999995,-117.16108399999997,60.807083333333345,58.79416666666666,56.284166666666664,65.56291666666667,1018.625,,,69.29166666666667,3.7108333333333334,235.29166666666666,,,,,43.458333333333336,757.7916666666666
2016-02-14,1455449400.0,-28800.0,32.715737999999995,-117.16108399999997,60.30625,57.896250000000016,55.617916666666666,64.93875,1017.25,,,73.75,5.085416666666667,251.66666666666666,,,,,52.708333333333336,763.25
2016-02-15,1455535800.0,-28800.0,32.715737999999995,-117.16108399999997,66.25791666666666,62.36875,60.92000000000001,70.60625,1014.5833333333334,,,49.875,4.922916666666667,220.54166666666666,,,,,24.041666666666668,780.125
2016-02-16,1455622200.0,-28800.0,32.715737999999995,-117.16108399999997,70.55916666666666,65.335,64.92125,74.53791666666666,1012.9583333333334,,,35.166666666666664,5.4725,144.70833333333334,,,,,3.2916666666666665,800.125
2016-02-17,1455708600.0,-28800.0,32.715737999999995,-117.16108399999997,64.40249999999999,60.15541666666667,58.71750000000001,69.40458333333335,1011.1666666666666,,,52.708333333333336,6.059166666666667,163.125,,,,,12.333333333333334,800.5833333333334
2016-02-18,1455795000.0,-28800.0,32.715737999999995,-117.16108399999997,61.905416666666646,60.4575,58.89583333333332,64.24999999999999,1013.875,,,78.0,5.275416666666666,192.25,0.40285714285714286,0.4,,,72.08333333333333,714.5
2016-02-19,1455881400.0,-28800.0,32.715737999999995,-117.16108399999997,59.18958333333333,54.82625000000001,55.977083333333326,62.377500000000005,1017.875,,,66.0,6.825833333333333,310.9583333333333,,,,,58.958333333333336,802.5416666666666
2016-02-20,1455967800.0,-28800.0,32.715737999999995,-117.16108399999997,57.87791666666666,54.06416666666667,54.07833333333332,61.778749999999995,1019.0416666666666,,,68.83333333333333,5.7525,239.54166666666666,,,,,33.25,801.625
2016-02-21,1456054200.0,-28800.0,32.715737999999995,-117.16108399999997,59.23916666666668,55.73708333333334,55.58958333333333,62.77124999999999,1018.5,,,72.5,6.449166666666666,242.0,,,,,48.333333333333336,789.4583333333334
2016-02-22,1456140600.0,-28800.0,32.715737999999995,-117.16108399999997,59.82333333333333,57.78666666666666,55.23875,64.14833333333335,1016.0416666666666,,,74.33333333333333,4.322083333333333,211.20833333333334,,,,,43.958333333333336,797.8333333333334
2016-02-23,1456227000.0,-28800.0,32.715737999999995,-117.16108399999997,62.423333333333325,60.13,57.48624999999999,68.10000000000001,1014.2916666666666,,,64.125,4.385833333333333,188.54166666666666,,,,,48.958333333333336,802.1666666666666
2016-02-24,1456313400.0,-28800.0,32.715737999999995,-117.16108399999997,66.71833333333335,61.31125000000001,61.324583333333315,72.13749999999999,1017.5,,,39.958333333333336,5.676666666666666,197.54166666666666,,,,,38.625,801.7083333333334
2016-02-25,1456399800.0,-28800.0,32.715737999999995,-117.16108399999997,64.77416666666669,58.171249999999986,59.58416666666667,69.40791666666668,1017.4583333333334,,,28.416666666666668,4.936249999999999,210.375,,,,,5.75,800.25
2016-02-26,1456486200.0,-28800.0,32.715737999999995,-117.16108399999997,61.96874999999999,57.14500000000001,56.15833333333333,66.98666666666665,1018.2916666666666,,,40.916666666666664,4.115416666666667,280.0833333333333,,,,,28.708333333333332,801.3333333333334
2016-02-27,1456572600.0,-28800.0,32.715737999999995,-117.16108399999997,61.45000000000001,59.35458333333333,56.90083333333334,65.62666666666665,1017.875,,,71.58333333333333,4.696666666666666,215.25,,,,,47.541666666666664,793.6666666666666
2016-02-28,1456659000.0,-28800.0,32.715737999999995,-117.16108399999997,61.199999999999996,59.548333333333346,57.49875,64.74333333333334,1016.1666666666666,,,75.70833333333333,4.732083333333333,246.125,,,,,63.333333333333336,770.5416666666666
2016-02-29,1456745400.0,-28800.0,32.715737999999995,-117.16108399999997,60.85458333333335,59.55083333333334,57.09166666666667,64.67833333333333,1016.4583333333334,,,77.5,4.28375,208.04166666666666,,,,,66.45833333333333,739.9166666666666
2016-03-01,1456831800.0,-28800.0,32.715737999999995,-117.16108399999997,61.05916666666667,60.07916666666665,56.826249999999995,65.67375,1017.6666666666666,,,80.16666666666667,4.232916666666667,203.08333333333334,,,,,66.08333333333333,712.7083333333334
2016-03-02,1456918200.0,-28800.0,32.715737999999995,-117.16108399999997,60.69458333333335,59.22958333333333,57.23916666666667,64.95833333333334,1018.3333333333334,,,78.04166666666667,4.493333333333335,270.9166666666667,,,,,67.08333333333333,742.3333333333334
